a,b,diff,d,e,41.4303924,17.0251642
01870,3,60,otahuimari tiadenidsa tojajaro acconi huadimanadsa dsama cacahuadedeni baccodenidsa tidomo huani huajine tiadeni tohuaqquedsimabaqquimanahuitohui dsama onihicca dsama onihicca madija tamine deni toquejenajari baccodenihuaji naqui tidomo huani huajine tiadeni tohuaqquedsimabaqquimanahuitohui nanidsana ticcadeni huima tecomeremanedsape taminedenipa otahuimari mittemanahuihuajine,otauimari tiadeniza torrarraro acconi uadimanaza zama cacauadedeni baccodeniza tidomo uaniuarrine tiadeni touaqquezimabaqqui manauitoui zama onihicca zama onihicca madirra tamine deni toquerrenarrari baccodeniuarri naqui tidomo uaniuarrine tiadeni touaqquezimabaqqui manauitoui nanizana ticcadeni uima tecomeremanezape taminedenipa otauimari mittemanauiuarrine,,
02111,2,60,tosonadsopa poni huinorinidsa madimanajarideni ponicca madija quenadsa ponicca odsadsa queriqquejari diopa ponidsa huati huana tadsa ejedeni cajijaro quenahui huima mittemanadsapa ponidsa jahuijonajari poni tadsajani huatidsema nahui huajine,tossonazapa poni uinoriniza madimanarrarideni ponicca madirra quenaza ponicca ozaza queriqquirrari —deopa poniza uati uana taza erredeni carrirraro quenaui uima mittemanazapa poniza rrauirronarrari poni tazarrani uatizemanauiuarrine,,
02270,4,60,nadsapa najarideniba sima jesodsa huadimanadsapa moa ini nemonadsa ia qquenemanajari poccadeni odsa panani nasaretidenihuaji ia qqueqquimema najari nasaretepi sonodsa odsa tojajaro nani sono memedsa tanihuaji ia qquemorema najari coro inaronemanahui huajine,nazapa narrarideni bazima zesoza uadimanazapa moua ininemanaza iaqquenemanarrari poccadeni oza panani nazareti deniuarri iaqqueqquime manarrari nazaretipe ssonoza oza torrarraro nani ssono memeza taniuarri iaqquemoremanarrari coro inaronemanauiuarrine,,
02311,2,60,jeso pohua tohui dama mera tahui qqui tadsapa pohua bodidsa nahuato tajari pajissa jesopa madija ina nomihuihuajine nahuato tahui quenahui jeso pohuadsa ahuato tedsape coma tajaridsa huati tajari otesse aji huimasiri tinanajaro badsimape onanamossini jidapana ticca huima diodsa tobicani najari jeso,zeso pouatoui damamera taui qqui tazapa poua bodiza nauato tarrari —parrissa zesopa madirra inanomiuiuarrine nauato taui quenaui zeso pouaza auato tezape coma tarrariza uati tarrari —otesse arri uimasiri tinanarraro bazimape onanamossini rridapana ticca uima deoza tobicani –narrari zeso,,
02498,3,60,nama najari madija naco tahui mari bicani icasihuahuerani huajinecca pohuadeni tesse mari ica nabaqquima najaradsapa ohuatti mittemana-jarajari paja poccadeni madiedsa occa marinaja ahuato tejeredsape pohuadeni tesse ohuadsa pajissa quena-jarajari nama quenadsapa pina bono noraqquiri najarissa quenajari n,nama narrari madirra naco otauimari bicani icassiuaueraniuarrinecca pouadeni tesse mari icanabaqquimana rrarazapa ouatti mittemana rrararrariparra poccadeni madieza occa marinarra auato terrerezape pouadeni tesse ouaza parrissa quena rrararrari nama quenazapa pina bononoraqquiri narrarissa quenarrari,,
02639,3,60,naraha nidsa madija badsimacca huima cattemanihuajinecca huada bacco tedsa tio pohua bacco aji tidomodeni huedsape tirohuaji madimanajaridenidsa dio pocca najisohue ajimani tojanitohui sidohuaji madimanajaridenidsa naco ajimani tojanitohui naraha tiadenidsana dio pocca najidsoue de nima oppina tanitohui,naraha niza madirra bazimacca uima cattemaniuarrinecca uada bacco teza deo poua baccouarri tidomodeni uezape tirouarri madimanarrarideniza deo pocca narrizoue arrimani torranitoui sidouarri madimanarrarideniza naco arrimani torranitoui naraha tiadenizana deo pocca narrizoue denima oppina tanitoui,,
02703,4,60,dsepecca equididsa jinede biji jore inadsapa pohua dsepetaji huapima inaccadsa da inabaqquijari huima najarosa najaroa aji occa dacorehe deni tojedsape tocorime tamine jore ona qquidsapa pocca dsodsose tabaqqui dsose dsose ohonine baqqui najari paja najari dseso,zepecca equidiza rrinede birri rrore inazapa poua zepetarri uapima inaccaza da inabaqquirrari uima narrarossa narraroa arri occa dacorehe deni torrezape tocorime tamine rrore onaqquizapa pocca zozosse tabaqqui zosse zosse ohoninebaqqui narrariparra narrari zeso,,
02894,5,60,nadsapa jipaqquiajinede huati tapomajari jari jahui onihi odsa panoni inidi huajicca jahui ticcaridsaji madija ohuaha deni teccanibaqquijo jahui dsimahui huajine occa odsa cajini huajine onajaro najarin,nazapa rripaqquie rrinede uati tapomarrari rrari rraui onihi oza panani inidiuarricca rraui ticcarizarri madirra ouahadeni teccanibaqquirro rrauizimauiuarrine occa oza carriniuarrine onarraro narrari,,
02980,5,60,nadsapa abrahaodsa huahua najari idi abrahao ohuadsa teti huana taji rasaro ohua acco canahui huajine pohua dsepe cote pasodsa icahuedsippa nesa dsose tajonajo ohuebeno tonahuini nani huajine ohuape aji jororoni ppocoranidsa oca sserani ohuani najarin,nazapa abarahaoza uaua narrari idi abarahao ouaza teti uana tarri razaro oua acco canauiuarrine poua zepe cote passoza iqueuezippa neza zosse tarronarro ouebeno tonauini naniuarrine ouape arri rrororoni ppocoraniza ocasserani ouani narrari,,
02982,1,60,huima onihi naqui tia timadi ia imadi nani nocconihuajipe odi imeni cojo tani cahuajiqquimanihuaji imadijarossa najaro aja imadinihuajicca madija tiadenihuaji bacco toquenahuihuajine ssamo tani manaco nanihuajicca madija iahuaji bacco najonahuihuajine ssamo tani nadsama lasaro tiahuaji jose onahuihuajine naco ssamo tani najari abarahao,uima onihi naqui tia timadi ia imadi nani nocconiuarripe odi imeni corro tani cauarriqquimaniuarri imadirrarossa narraro arra imadiniuarricca madirra tiadeniuarri bacco toquenauiuarrine ssamo tani manaco nauiuarricca madirra iauarri bacco narronauiuarrine ssamo tani nazama razaro tiauarri zosse onauiuarrine naco ssamo tani narrari abarahao,,
03022,4,60,nadsama najaro huada bacco tedsape madija pocca odsa amosinihuaji ccaridsadsapa pohua dsepe tajitohui pocca odsahuaji toqquedsimani jarana madija ohuaha pocca huidsajahuaji dsepe ijijari naco pocca odsahuaji toccani jarana,—nazama narraro uada bacco tezape madirra pocca oza amossiniuarri ccarizazapa poua zepetarritoui pocca ozauarri toqquezimani rrarana madirra ouaha pocca uizarrauarri zepe irrirrari naco pocca ozauarri toccani rrarana,,
03351,3,60,naraha bodi jidederaja madija inanadsoqquemana najarideni dseso huinoridsa cobaba dsanajari ojaria dsesodsa atti huaidira tadsa jidsajidsa najari tiapi cristo tijedsape tia tinasihuahuaji ia naqui ia tinasihuahuabaqquiji najarin,naraha botirridede rarra madirra inanazoqquemana narrarideni zeso uinoriza cobaba zanarrari orraria zesoza atti uaidira taza rriza rriza narrari —tiape cristo tirrezape tia tinassiuauarri ia naqui ia tinassiuauabaqquirri narrari,,
03397,3,60,ocaserani ahua-jaradsa dsoqque aradsapa diocca deni tojehe pohuadsa ahuato jerani tohuiraha pajissa najidsoue imeni ocaserani ahuadsa dsoqquedsapa nahuatonidsa imehihuaji toccamacossanijari nadsapa pocca abi dio pocca deni tojehe pohuadsa inanajaro najari jeson,ocasserani aua rraraza zoqque rrarazapa deocca deni torrehe pouaza auato rreranitouiraha parrissa narrizoue imeni ocasserani auaza zoqquezapa nauatoniza imehiuarri toccamacossanirrari nazapa pocca abi deo pocca deni torrehe pouaza inanarraro narrari zeso,,
03420,3,60,neraha taidepe jerosaredsa timadimanaccaji nidsa occa abi dio huati tapojarissa najari ohuana tiadenidsa dsose onaronahuitohui najari dio corimena tiadenidsa tojaridsahuitohui pohuapa dio memehuaji madijaricca dacorehe tiboridenidsa inanaridsanitohui nedsana otahuimari mari taridsema nanihuajine najaridseson,neraha taidepe zerozareza timadimanaccarri niza occa abi deo uati taporrarissa narrari ouana tiadeniza zosse onaronauitoui narrari deo corimena tiadeniza torrarizauitoui pouapa deo memeuarri madirraricca dacorehe tibodideniza inanarizanitoui nezana otauimari mari tarizemananiuarrine narrari zeso,,
03579,5,60,nadsama ohuape huidsajacca bono jadahui bitede tiadeni dsose onabaqquina aja ticcadeni ppaniji jarahui najaridsapa madija ohuahadenina dsepedeni ijimanapojari naraha tidsepedeni ijimanajarocca badsimape tassaqquijaro aja dsepedeni ijimanapojaricca naqui tiadenidsa huima bicani tojani nade jeso iadsa,nazama ouape uizarracca bono rradaui bitede tiadeni zosse onabaqquina arra ticcadeni ppanirri rraraui narrarizapa madirra ouahadenina zepedeni irrimanaporrari naraha tizepedeni irrimanarrarocca bazimape tassaqquirraro arra zepedeni irrimanaporraricca naqui tiadeniza uima bicani torrani nade zeso iaza,,
04456,4,60,nadsapa pedoro dsohuao tedseje pohuadeni cacomeremanadsa taminedenipa huajo caniredsa a iadsa cappinanera tajarico quenajari pedorodenicca madie taide nahuatoqquiri nadsapa a pohuadenipa pohuama madimanaccade moise ecca marinaja dio atti cacomeraqquiri najaridenicca dodsonijidsa ssamomo taccade seso huatimade toquejenadsapa tocohuatterajari huitideja quenajari,nazapa pedoro zouao tezerre pouadeni cacomeremanaza taminedenipa uarro canireza —a iaza cappinenera tarrarico quenarrari pedorodenicca madie taide nauatoqquiri nazapa —a pouadenipa pouama madimanaccade moizecca marinarra deo atti cacomeraqquiri narraridenicca dozonirriza ssamomo taccade zeso uatimade toquerrenazapa tocauatterarrari uitiderra quenarrari,,
04598,5,60,najaricca amoua corime ticanahahuatomanadsa naco tipitodenidsa jassi-jassi tinedsa naqui ia dsodsossede titiquena nadeja nema tiquenedsape dsama onihicca dsodsosse tiquejenanihuajine tiadeni dsosse onabaqquinitohui ajicca dsama babironiadenihuajina tiadeni onebobaqquinihuajine ohuadsa ibobo tinajaro manaco napohui nade dio atti najari esteban,narraricca amoua corime ticanauatomanaza naco tipitodeniza rrassi rrassi tineza naqui ia zozossede titiquena naderra nema tiquenezape zama onihicca zozosse tiquerrenaniuarrine tiadeni zosse onabaqquinitoui arricca zama babironia deniuarrina tiadeni onebobaqquiniuarrine ouaza ibobo tinarraro manaco napoui nade deo atti narrari estevao,,
04601,5,60,najaro dio tadsaripe icca idideni potemahuideni ecahuajonema najaro dsotode ididenicca dsama tojanihuajinehuaji dsodsoue eccajonabaqquidsapa dio tadsari bani etero ssequi nahuicca naco eccajonemanajaro ajijaro dsamadsa bacco najonemanadsapa madija ohuahana madimanahuira qqui toquenajarin,—narraro deo tazaripe icca idideni potemauideni ecauarronemanarraro zotode ididenicca zama torraniuarrineuarri zozoue eccarronabaqquizapa deo tazari bani etero ssequi nauicca naco eccarronemanarraro arrirraro zamaza bacco narronemanazapa madirra ouahana madimanauira qqui toquenarrari,,
04777,4,60,nadsapa diodsa huatidsemanajari jehe dsodio quejena-jararaha diopa pohuadenidsa naco huati huana tajari diojine bodideni cacajiqquimeradsa jesodsa pajissa quenadsapa camittehe jiquejeranicca cajiridsemanahui diopa bica tahui diopa deni tojahui quenajari,nazapa deoza uatizemanarrari —rrehe zodeo querrena rrararaha deopa pouadeniza naco uati uana tarrari deorrine bodideni cacarriqquimeraza zesoza parrissa quenazapa camittehe rriquerreranicca carririzemanaui deopa bica taui deopa deni torraui quenarrari,,
04885,2,60,nama quenaraha paoro barnabe tedseje nahui pohuadenidsa madimana-dsanapojari ia dsodsossede jesojine cappinenera tadsa dio madijadsa huati cahuanari canahui tahuimarini mari icanabaqquidsanapojari nadsapa najaro huima pajissa ahuato tanihuajine dio paolodenidsa pocca nahuatohue da inedsape canahuatorimanana canaridsajari,nama quenaraha paoro banabe tezerre naui pouadeniza madimana zanaporrari ia zozossede zesorrine cappinenera taza deo madirraza uati cauanari canaui tauimarini mari icanabaqqui zanaporrari nazapa narraro uima parrissa auato taniuarrine deo paorodeniza pocca nauatoue da inezape canauatorimanana canarizarrari,,
04897,2,60,naraha barnabe paoro tedseje pohuadenidsa madija huatidsemanadsa bohui inapamajonemanahuihuajine quenahui mittemanadsapa huajo quenajari bodideni ocassera tadsa poccadeni etero mattonidsa jocasseo quenadsapa madija domodeni huahuihuaji dsaja todsimajari attideni dacoradsa huati toquenajari,naraha banabe paoro tezerre pouadeniza madirra uatizemanaza boui inapamarrone manauiuarrine quenaui mittemanazapa uarro quenarrari bodideni ocassera taza poccadeni etero mattoniza rroca sseo quenazapa madirra domodeni uauiuarri zarra tozimarrari attideni dacoraza uati toquenarrari,,
05052,3,60,abi dio pohuajinena aji imadijaropaji pohuajine jajahuijaridsa najaropaji pohuajine iquejenaridsajaropaji najaroa aji ticcadeni ajie nahuatobotedeni jiri icanemanapodsape dio pohua potemahui iquejenajaro quenapojaripajan,abi deo pouarrinena arri imadirraroparri pouarrine rrarrauirrariza narraroparri pouarrine iquerrenarizarraroparri narraroa arri ticcadeni arrie nauatobotedeni rriri icanemanapozape deo poua potemaui iquerrenarraro quenaporrariparra,,
05133,4,60,nadsapa dodiodeni poccadeni madija alesadre badsimadsa huati tahuihuajine aja mohua mohua canajari baccodenihuaji cco ininemanajari pohuapa aji ia djodiodeni iape huima inana-jerani nahuihuajine pohua dsepe memehuaji da icanedsa huadsa huadsa naraha tocadidire najarajari,nazapa zodeodeni poccadeni madirra aresadre bazimaza uati tauiuarrine arra moua moua canarrari baccodeniuarri cco ininemanarrari pouapa —arri ia zodeodeni iape uima inana rrerani nauiuarrine poua zepe memeuarri da icaneza uaza uaza naraha tocadidire narrararrari,,
05244,3,60,nahui damascocca dsodiodenicca taminedenidsa nohue onaridsanihuajine dsojo onajarode najaro huimadsa damascocca dsesodsa jehe quenajarideni qqui onabaqquidsa otadamadsa aji jerosarehuaji ohuaccanibaqquidsapa inajidsobaqqui-manahuihuajine onedsa occajarode,naui damascocca zodeodenicca taminedeniza noue onarizaniuarrine zorro onarrarode narraro uimaza damascocca zesoza rrehe quenarrarideni qqui onabaqquiza otadamaza arri zerozareuarri ouaccani baqquizapa inarrizo baqquimanauiuarrine oneza occarrarode,,
06406,3,60,nadsama jesocristocca dsodsosse tabaqqui tahideccapa bicaqquiri naraha huapi ajimani ojajarode tahidepe jesocristodsa toquejenajarideni dio attidsa totoqueriqqui najarideni ohonajidsobaqqui naccade jesocristocca dsodsosse tabaqqui ojanihuajine bica onejereraha seso pohuajinena pocca dsodsosse ojajarode,nazama zeso cristocca zozosse tabaqqui taideccapa bicaqquiri naraha ouape arrimani orrarrarode taidepe zeso cristoza toquerrenarrarideni deo attiza totoqueriqqui narrarideni ohonarrizobaqqui naccade zeso cristocca zozosse tabaqqui orraniuarrine bica onerrereraha zeso pouarrinena pocca zozosse orrarrarode,,
06773,4,60,poni maccahuima huatijidede tijiranitide ohuana deni ojani bica onani titiquena nanitide tiqueriqquimanedsa ajahuajijohua ajahuajijoha tiquenedsa ticcadeni huima toccanissa tejeranitide nema tinanemanedsape ohuatidse-jeranitohui tiadeni naqui tiadeni huati ocanabaqquidsa ohuadsa tetidsemana-jeranitohui n,ponimacca uima uatirridede tirriranitide —ouana deni orrani bica onani titiquena nanitide tiqueriqquimaneza arrauarri rroua arrauarri rroua tiqueneza ticcadeni uima toccanissa terreranitide nema tinanemanezape ouatize rreranitoui tiadeni naqui tiadeni uati ocanabaqquiza ouaza tetizemane rreranitoui,,
06822,3,60,nanihuaji oqquemoranipomajarope tahide diopa occanihuajine bica tani ahuato inanedsa oqquemoranijaro nedsape jerosare bacco onanidsa jesocristodsa jehe quenajari badsimadsa occa mari najacca huima huati onabaqquijarode ime jocohuideni pohuadenira queriqquimanadsa naco occa mari najacca huima mittemanahuissa tahuihuajine huati onabaqquijarode,naniuarri oqquemorani pomarrarope taide deopa occaniniuarrine bica tani auato inaneza oqquemoranirraro nezape zerozare bacco onaniza zeso cristoza rrehe quenarrari bazimaza occa marinarracca uima uati onabaqquirrarode ime rrocouideni pouadenira queriqquimanaza naco occa marinarracca uima mittemanauissa tauiuarrine uati onabaqquirrarode,,
07022,4,60,odsa sibadsa canahuatoni huajinepe tahide poni cahuittanicca nami najorapojaro dsotodena siba hua tamaro-huajanidsape odsa tocajajaro jesocristocca dsodsose tabaqquideni dio atti cacomeraqquiri najarideni tedsejepa pina odsa cahuittanicca namissa quenajari tiadenipe pina siba hua tamaro huajaninissa tiquenajaro jesocristopa pina siba bicabotessa najari,oza sibaza canauatoniuarrinepe taide poni cauittanicca nami narroraporraro zotodena siba ua tamarouarranizape oza tocarrarraro zeso cristocca zozosse tabaqquideni deo atti cacomeraqquiri narrarideni tezerrepa pina oza cauittanicca namissa quenarrari tiadenipe pina siba ua tamarouarraninissa tiquenarraro zeso cristopa pina siba bicabotessa narrari,,
07055,1,60,ia badsima jesocristodsa iquejenajarope pohuadsa ijariqquijaro pina pohua assire ojarijarissa inajaro deo pohua corime iadsa anijari naco ojarihui itedsejemacca huima bicani tohuini imadijaro naqui ojarini najaro iadsa tojanihuajine deo ia tocattejidsa baqquijaripaja,ia bazima zeso cristoza iquerrenarrarope pouaza irrariqquirraro pina poua assire orrarirrarissa inarraro deo poua corime iaza anirrari naco orrariui itezerremacca uima bicani touini imadirraro naqui orrarini narraro iaza torraniuarrine deo ia tocatterrizabaqquirrariparra,,
07156,4,60,nija imecotedeni ohuape paoro otesse timoti tedseje jesocristocca dsodsosse iquejenani tiadenidsa nija bicaqquiri tiquenaqui inajaro aji odsa panani firipocca diodsa tiquejenajarodeni jesocristodsa tijariqquimanajaro tiadenidsa huima dodso inajaro titiqueriqqui nanicca tiadeni maridedeni tibijideni accodedeni badsimadsa naqui dodso inajaron,nirra imecotedeni ouape paoro otesse timoti tezerre zeso cristocca zozosse iquerrenani tiadeniza —nirra bicaqquiri tiquenaqui inarraro arri oza panani piripocca deoza tiquerrenarrarodeni zeso cristoza tirrariqquimanarraro tiadeniza uima dozo inarraro titiqueriqqui nanicca tiadeni maridedeni tibirrideni accodedeni bazimaza naqui dozo inarraro,,
07319,2,60,nama najaria aja nidsa pohua imehi deohuaji ia tohuaccamacossani baqquidsapa imehidsa ajajari denipa occa madija nahuitohui iadsa nahui deo ia qqui tabaqquidsapa huimasiri jirehe ibodi ssihuaja qquiri nehe ia qqui tabaqquiuihuahine deo iadsa naco huahidira qquiri tiquenani najarahuitohui jesojine iadsa huima nohuereje najaro,nama narraria arra niza poua imehi deouarri ia touaccamacossani baqquizapa imehiza —arrarraridenipa occa madirra nauitoui iaza naui deo ia qqui tabaqquizapa uimasiri rrirehe ibodi ssiuarraqquiri nehe ia qqui tabaqquiuiuarrine deo iaza naco —uaidiraqquiri tiquenani narrarauitoui zesorrine iaza uima nouererre narraro,,
07484,3,60,timecote jeso cristodsa jehe najaricca amoneje amoneje onihi naqui tijemana tejeraji timecotecca amoneje tijedsape pina timecotedsa nanajidso tajarossa najaro nedsa tiadenidsa huati inapode paji nema najaro huimape oppina tani ihinanapode nema najaro huima tinanema nedsape manaco dio tiadeni tonajidsobaqquihuitohui n,timecote zeso cristoza rrehe narraricca amonerre amonerre onihi naqui tirremana terrerarri timecotecca amonerre tirrezape pina timecoteza nanarrizo tarrarossa narraro neza tiadeniza uati inapode —parri nema narraro uimape oppina tani ihinanapode nema narraro uima tinanemanezape manaco deo tiadeni tonarrizo baqquiuitoui,,
07541,4,60,ia dsodsossede bacco nanidsapa poccadeni huimasiri manaconi najidsohue jiquejeranihuaji madimana dsanapohuitohui ia dsodsossededsa huajiqquiri nadsa madimanahihuajine dio dsosse inabaqquihuitohui nadsapa jseso cristocca deni tojehe pohua dsibehine pocca nahuatohue qqui toquena-jarahuitohuin,ia zozossede bacco nanizapa poccadeni uimasiri manaconi narrizoue rriquerreraniuarri madimana zanapouitoui ia zozossedeza uarriqquiri naza madimanauiuarrine deo zosse inabaqquiuitoui nazapa zeso cristocca deni torrehe poua zibehine pocca nauatoue qqui toquena rrarauitoui,,
07742,1,60,nema nedsape teti jime jeranihuajine ohuatti tiadsa ajima onajaro dio pocca daniji bicani tahide tiadsa da inapojarodsa damera tinaji pina dsippo tina-jadaripomajarossa tinanaji najarope dio atti maride tipajirenissa tanihuajine odsepedsa tia bara onedsa diodsa huati onedsape tiadsa tojade,nema nezape teti rrime rreraniuarrine ouatti tiaza arrima onarraro deo pocca danirri bicani taide tiaza da inaporraroza damera tinarri pina zippo tinarradaripomarrarossa tinanarri narrarope deo atti maride tiparrirenissa taniuarrine ozepeza tia bara oneza deoza uati onezape tiaza torrade,,
07813,4,60,madija huima tonanadsa naco mohuaradsa huati ticanahuissa tajo huima tinanajarodsa pepeji taji tana madija pohua bodi caccajiqquimerahuihuajine naco mari ticanajo huima bicani tohuira pohua bodi huatohuohuihuajine tohuattahuihuajine najo tadsa naco namanaha mohuaradsa mari ticanajon,madirra uima tonanaza naco mouaraza uati ticanauissa tarro —uima tinanarraroza peperri tarri tana madirra poua bodi cacarriqquimerauiuarrine naco mari ticanarro uima bicani touira poua bodi uatouiuarrine touattauiuarrine narro taza naco nama naha mouaraza mari ticanarro,,
08262,1,60,huimasiri naqui inebona ajijaro namidsa imadiccadsama diudsa jehe inanisa tedsa imadi dsanapona dacoco huijirana pina madija ittomedsa joppa tajarissa inana huaji jiridsa moaradsa itesejemacca huaji iadsa aniuihuajiccadsa joppa joppa inana,uimasiri naqui inebona arrirraro namiza imadiccazama deoza rrehe inanissa teza imadi zanapona dacoco irrirana pina madirra ittomeza rroppa tarrarissa inana uarrirririza mouaraza itezerremaccauarri iaza aniuiuarriccaza rroppa rroppa inana,,
09068,4,60,madija panahuicca ohuaa ohuaha naridsemanajarideni mota madija huapideni onihi onihi cajiridsemanajarideni mota tohuatti onihi onihi cajiridsemanajarideni mota dsama onihi onihidsa madiridsemanajarideni mota jahui-jonana canahuitohui najarideni badsimapa ppa idsa baqquimana-jarahuihuajine ccocco baqquimanahuitohui,madirra panauicca ouaha ouaha narizemanarrarideni mota madirra uapideni onihi onihi carririzemanarrarideni mota touatti onihi onihi carririzemanarrarideni mota zama onihi onihiza madirizemanarrarideni mota rrauirronana canauitoui narrarideni bazimapa ppa izabaqquimana rrarauiuarrine eccoccobaqqui manauitoui,,
09183,5,60,nedsape sissihuede ssihuehue canajaro mohuini jidsa tajaro naqui tomohuiridsajaro ttottorode naqui ttororo canajaro nedsape nami jadsirema dsaroro najaro madija ajijaro dsamadsa madimana podsama namidsa caji tapora ajijaro namidsape denima dacorajaron,nezape ssissiuede ssiueue canarraro mouini rriza tarraro naqui tomouirizarraro ttottorode naqui ttororo canarraro nezape nami rrazirema zaroro narraro madirra arrirraro zamaza madimanapozama namiza carri taporaha arrirraro namizape denima dacorarraro,,
09269,2,60,qqui onanaja taminedenicca huihuittaridsa jassi tariridsajari qqui onabaqquijari pohuadenipa huima icattememananihuajine diocca dsossehe cajimanajari nahuidsa naco madija mattodeni caca tojidsemaneri napojarideni qqui onabaqquijari najaridenipa jesocristo tahuimari nahuatoqquiri najarideni dio atti ecomeraridsa manajarojine inajicabaqquimanapojari,qqui onanarra taminedenicca uiuittariza rrassi taririzarrari qqui onabaqquirrari pouadenipa uima icattememananiuarrine deocca zossehe carrimanarrari nauiza naco madirra mattodeni ca ca torrizemaneri naporrarideni qqui onabaqquirrari narraridenipa zeso cristo tauimari nauatoqquiri narrarideni deo atti ecomerariza manarrarorrine inarricabaqqui manaporrari,,
00315,2,59,nadsapa joao baotistacca mamari tabaqqui sesohuaji bacco najonemanadsapa pohuadsa huati toquenajari nija iape diodsara huati huati dsanaponihuajine jipehe ihinebocossa nani jodeodenicca marinaja pariseodsa jehe quenajarideni naco jipehe nenebocossemana naraha nejecotohui ticca mamari tabaqqui tedsejedeni jipehe titinebocossemana nejerajaro quenade,nazapa zouao batistacca mamari tabaqqui zesouarri bacco narronemanazapa pouaza uati toquenarrari —nirra iape deozara uati uati izanaponiuarrine rripehe ihinebocossa nani zodeodenicca marinarra parizeoza rrehe quenarrarideni naco rripehe nenebocossemana naraha nerrecotoui ticca mamari tabaqqui tezerredeni rripehe titinebocossemana nerrerarraro quenade,,
00502,3,59,najaro aji dsona pina huati ajarissa nadsa aba imehi bodidsa huada pama tojari nehe madidsajarissa najari aji ohua madija bedi ojajarope nidsa ohuatiedsa nami bodihuaji huada pama tojari nehe omadinitohui pina dsonacca huimassa onajaro ohuadsa tojanitohui nade jeso,narraroa arri zona pina uatiarrarissa naza aba imehi bodiza uada pama torrari nehe madizarrarissa narrari arri oua madirra bedi orrarrarope niza ouatiheza nami bodiuarri uada pama torrari nehe omadinitoui pina zonacca uimassa narraro ouaza torranitoui nade zeso,,
00599,4,59,nadsapa herode pohua bodi nacassera taraha pohua atti tahide tia ocamaidsa-jerajaro ohuattissa onanitohui nanaja napodsa pohua tessedeni pajissehe huati tajari quenahui huajine tohuini nadsapa jehe dsohua omatto cati-jidsadsapa paratodsa ponidsa da ticanajo najari,nazapa erodi poua bodi nacassera taraha poua atti taide —tia ocamaiza rrerarraro ouattissa onanitoui nanarra napoza poua tessedeni —parrissehe uati tarrari quenauiuarrine touini nazapa —rrehe zouao matto ca tirrizazapa paratoza poniza da ticanarro narrari,,
00629,4,59,nadsapa huada onidsa odsa panani jerosarehuajicca jodeodenicca marinaja pariseodsa jehe quenajarideni jodeodenicca marinaja maridedeni tedseje sesodsa bacco najonemanajari desocca dsodsosse tabaqqui pohuadeni dsepe sjahuarahui jipemanahui qqui toquenadsapa sesodsa huati toquenajari,nazapa uada onihiza oza panani zerozareuarricca zodeodenicca marinarra parizeoza rrehe quenarrarideni zodeodenicca marinarra maridedeni tezerre zesoza bacco narronemanarrari zesocca zozosse tabaqqui pouadeni zepe ssauaraui rripemanaui qqui toquenazapa zesoza uati toquenarrari,,
00706,5,59,nadsapa jeso pohua huatimade iadsa denima huati huati tajari aji desocca madija iquejenana tiquenedsape tiadeni tohuini tiquenanicca tohui tetideni jimemanaji ohuadsara dameraqquiri tiquenaji madija tiadenidsa ahua porimacossanidsa tidsoqqueji quenadsa naco jehe odsoqqueni bica tani jeso onebojarahui titidsanapomana nana onajaron,nazapa zeso poua uatimade iaza denima uati uati tarrari —arri zesocca madirra iquerrenana tiquenezape tiadeni touini tiquenanicca toui tetideni rrimemanarri ouazara dameraqquiri tiquenarri madirra tiadeniza aua porimacossaniza tizoqquerri quenaza naco rrehe ozoqqueni bica tani zeso onebo rraraui titizanapomana nana onarraro,,
00846,4,59,dsotodepe madija ohuaha jodeo quejena-jarajaridenidsa ohua da iquenedsa najaridenina ohua jaja icanaqquimanajaro ohua cossi inaqquimanajaro nanitohui nedsape ahua porimacossanidsa ohua inanadsoqquemanedsa ohuappa idsemananitohui naraha huada pama tojari nedsa onahuatoninitohui nade seso iadsa n,zotodepe madirra ouaha zodeo querrena rrararrarideniza oua da iqueneza narraridenina oua rrarra icanaqquimanarraro oua cossi inaqquimanarraro nanitoui nezape aua porimacossaniza oua inanazoqque maneza oua ppa izemananitoui naraha uada pama torrari neza onauatoninitoui nade zeso iaza,,
00930,5,59,jari madijatohui jahui imeni badsimadsa jahui tijaridsaji nahuihuajicca madija badsima bacco tinabaqquimanadsa ajima tiquenaji tamine attipa occa ejedeni cacajirehuicca jipaqquiatohui jahui tijajonaji napaja tiquenana najari tamine atti n,rrari madirratoui rraui imeni bazimaza rraui tirrarizarri nauiuarricca madirra bazima bacco tinabaqquimanaza arrima tiquenarri tamine attipa occa erredeni cacarrireuicca rripaqquietoui rraui tirrarronarri naparra tiquenana narrari tamine atti,,
00986,5,59,jaho jodeodenicca marinaja maridedeni marinaja pariseodsa jehe tiquenajaro tiadenipe huahuattajo tiquejenanitohui maidsajidede tijirani amoneje tobacco pero ponideni madimanani huajine ccaraha ticamaidsa-baqqui-manedsa tiadenidsa totoja nedsape ponidenicca odsa naqui tiadenidsa toto cajaridsa najaro,—rraho zodeodenicca marinarra maridedeni marinarra parizeoza rrehe tiquenarraro tiadenipe uauattarro tiquerrenanitoui maizarridede tirrirani amonerre tobaccopero ponideni madimananiuarrineccaraha ticamaizabaqquimaneza tiadeniza totorra nezape ponidenicca oza naqui tiadeniza totocarrariza narraro,,
