"language","version","stocknumber","filesetid","type","script","iso639","bibleid"
"Chechen","2012 Institute for Bible Translation, Moscow","O2CHE/IBT","CHEIBTO1DA","audio","Cyrl","che","CHEIBT"
"Chechen","2012 Institute for Bible Translation, Moscow","O2CHE/IBT","CHEIBTO2DA","audio_drama","Cyrl","che","CHEIBT"
"Chechen","2012 Institute for Bible Translation, Moscow","P2CHE/IBT","CHEIBTP2DA","audio_drama","Cyrl","che","CHEIBT"
"Chechen","2012 Institute for Bible Translation, Moscow","P2CHE/IBT","CHEIBTP2DA16","audio_drama","Cyrl","che","CHEIBT"
"Chechen","2012 Institute for Bible Translation, Moscow","N2CHE/IBT","CHEIBTP2DV","video_stream","Cyrl","che","CHEIBT"
"Tabasco Chontal","1977 The Bible League","N2CHF/TBL","CHFTBL","text_plain","Latn","chf","CHFTBL"
"Tabasco Chontal","1977 The Bible League","P1CHF/TBL","CHFTBLP1DA","audio","Latn","chf","CHFTBL"
"Ojitlán Chinantec","BSM Version","N2CHJ/BSM","CHJBSM","text_plain","Latn","chj","CHJBSM"
"Mandarin Chinese","Revised Chinese Union Bible Shen Edition","N2CHN/RUV","CHNRUVN2DA","audio_drama",NULL,"cmn","CMNRCUV"
"Mandarin Chinese","Revised Chinese Union Bible Shen Edition","P2CHN/LPF","CHNRUVP2DV","video_stream",NULL,"cmn","CMNRCUV"
"Mandarin Chinese","Studium Biblicum Version (Catholic)","N2CHN/SBV","CHNSBV","text_plain","Hani","cmn","CMNSBV"
"Mandarin Chinese","Studium Biblicum Version (Catholic)","N2CHN/SBV","CHNSBVN2DA","audio_drama","Hani","cmn","CMNSBV"
"Mandarin Chinese","Union Version","N2CHN/UNV","CHNUN1","text_plain",NULL,"cmn","CMNUN1"
"Mandarin Chinese","Union Version","N2CHN/UNV","CHNUN1","text_format",NULL,"cmn","CMNUN1"
"Mandarin Chinese","Union Version","N2CHN/UNV","CHNUN1N1DA","audio",NULL,"cmn","CMNUN1"
"Mandarin Chinese","Union Version","N2CHN/UNV","CHNUN1N2DA","audio_drama",NULL,"cmn","CMNUN1"
"Mandarin Chinese","Union Version","O2CHN/UNV","CHNUN1O1DA","audio",NULL,"cmn","CMNUN1"
"Mandarin Chinese","Union Version","O2CHN/UNV","CHNUN1O2DA","audio_drama",NULL,"cmn","CMNUN1"
"Mandarin Chinese","Union Version","N2CHN/UNV","CHNUNV","text_plain","Hani","cmn","CMNUNV"
"Mandarin Chinese","Union Version","N2CHN/UNV","CHNUNV","text_format","Hani","cmn","CMNUNV"
"Mandarin Chinese","Union Version","N2CHN/UNV","CHNUNVC1DA","audio","Hani","cmn","CMNUNV"
"Mandarin Chinese","Union Version","N2CHN/UNV","CHNUNVC2DA","audio_drama","Hani","cmn","CMNUNV"
"Mandarin Chinese","Union Version","N2CHN/UNV","CHNUNVN1DA","audio","Hani","cmn","CMNUNV"
"Mandarin Chinese","Union Version","N2CHN/UNV","CHNUNVN2DA","audio_drama","Hani","cmn","CMNUNV"
"Mandarin Chinese","Union Version","N2CHN/UNV","CHNUNVN2DA16","audio_drama","Hani","cmn","CMNUNV"
"Mandarin Chinese","Union Version","N2CHN/UNV","CHNUNVN2SA","audio_drama_stream","Hani","cmn","CMNUNV"
"Mandarin Chinese","Union Version","O2CHN/UNV","CHNUNVO1DA","audio","Hani","cmn","CMNUNV"
"Mandarin Chinese","Union Version","O2CHN/UNV","CHNUNVO1DA16","audio","Hani","cmn","CMNUNV"
"Mandarin Chinese","Union Version","O2CHN/UNV","CHNUNVO2DA","audio_drama","Hani","cmn","CMNUNV"
"Mandarin Chinese","Union Version","O2CHN/UNV","CHNUNVO2DA16","audio_drama","Hani","cmn","CMNUNV"
"Cherokee","Public Domain","N2CHR/PDV","CHRPDV","text_plain","Cher","chr","CHRPDV"
"Chuvash","2009 Institute for Bible Translation, Moscow","N2CHV/IBT","CHVIBT","text_format","Cyrl","chv","CHVIBT"
"Chuvash","2009 Institute for Bible Translation, Moscow","N2CHV/IBT","CHVIBT","text_plain","Cyrl","chv","CHVIBT"
"Chuvash","2009 Institute for Bible Translation, Moscow","N2CHV/IBT","CHVIBTN1DA","audio","Cyrl","chv","CHVIBT"
"Chuvash","2009 Institute for Bible Translation, Moscow","N2CHV/IBT","CHVIBTN1DA16","audio","Cyrl","chv","CHVIBT"
"Chuvash","2009 Institute for Bible Translation, Moscow","N2CHV/IBT","CHVIBTN2DA","audio_drama","Cyrl","chv","CHVIBT"
"Chuvash","2009 Institute for Bible Translation, Moscow","N2CHV/IBT","CHVIBTN2DA16","audio_drama","Cyrl","chv","CHVIBT"
"Chuvash","2009 Institute for Bible Translation, Moscow","N2CHV/IBT","CHVIBTP2DV","video_stream","Cyrl","chv","CHVIBT"
"Cheyenne","2007 Cheyenne Bible Translation Committee","S1CHY/CTC","CHYCTC","text_format","Latn","chy","CHYCHB"
"Cheyenne","2007 Cheyenne Bible Translation Committee","S1CHY/CTC","CHYCTC","text_plain","Latn","chy","CHYCHB"
"Cheyenne","2007 Cheyenne Bible Translation Committee","S1CHY/CTC","CHYCTCP1DA","audio","Latn","chy","CHYCHB"
"Ozumacín Chinantec","2003 Wycliffe Bible Translators Inc.","N2CHZ/WBT","CHZWBT","text_plain",NULL,"chz","CHZWBT"
"Ozumacín Chinantec","2003 Wycliffe Bible Translators Inc.","N2CHZ/WBT","CHZWBTN2DA","audio_drama",NULL,"chz","CHZWBT"
"Ozumacín Chinantec","2003 Wycliffe Bible Translators Inc.","N2CHZ/WBT","CHZWBTN2DA16","audio_drama",NULL,"chz","CHZWBT"
"Ozumacín Chinantec","2003 Wycliffe Bible Translators Inc.","N2CHZ/WBT","CHZWBTP2DV","video_stream",NULL,"chz","CHZWBT"
"Western Cham","2015 Edition","P2CJA/WYI","CJAWYIP2DA","audio_drama","Latn","cja","CJAWYI"
"Western Cham","2015 Edition","P2CJA/WYI","CJAWYIP2DV","video_stream","Latn","cja","CJAWYI"
"Chru","Chru Languages Version","P1CJE/CLV","CJECWKP1DA","audio","Latn","cje","CJECWK"
"Ashéninka Pajonal","2008, Wycliffe Bible Translators, Inc","N2CJO/WBT","CJOWBT","text_format","Latn","cjo","CJOWBT"
"Ashéninka Pajonal","2008, Wycliffe Bible Translators, Inc","N2CJO/WBT","CJOWBT","text_plain","Latn","cjo","CJOWBT"
"Ashéninka Pajonal","2008, Wycliffe Bible Translators, Inc","N2CJO/WBT","CJOWBTN1DA","audio","Latn","cjo","CJOWBT"
"Ashéninka Pajonal","2008, Wycliffe Bible Translators, Inc","N2CJO/WBT","CJOWBTN1DA16","audio","Latn","cjo","CJOWBT"
"Ashéninka Pajonal","2008, Wycliffe Bible Translators, Inc","N2CJO/WBT","CJOWBTN2DA","audio_drama","Latn","cjo","CJOWBT"
"Ashéninka Pajonal","2008, Wycliffe Bible Translators, Inc","N2CJO/WBT","CJOWBTN2DA16","audio_drama","Latn","cjo","CJOWBT"
"Ashéninka Pajonal","2008, Wycliffe Bible Translators, Inc","N2CJO/WBT","CJOWBTP2DV","video_stream","Latn","cjo","CJOWBT"
"Cabécar","Traducciones al Cabecar","N2CJP/TJV","CJPTJV","text_plain",NULL,"cjp","CJPTJV"
"Cabécar","Traducciones al Cabecar","N2CJP/TJV","CJPTJVN2DA","audio_drama",NULL,"cjp","CJPTJV"
"Cabécar","Traducciones al Cabecar","N2CJP/TJV","CJPTJVN2DA16","audio_drama",NULL,"cjp","CJPTJV"
"Shor","2011 Institute for Bible Translation, Moscow","P1CJS/IBM","CJSIBMP2DV","video_stream","Cyrl","cjs","CJSIBM"
"Shor","2004, 2011 Institute for Bible Translation, Moscow","P2CJS/IBT","CJSIBT","text_format","Cyrl","cjs","CJSIBT"
"Shor","2004, 2011 Institute for Bible Translation, Moscow","P2CJS/IBT","CJSIBT","text_plain","Cyrl","cjs","CJSIBT"
"Shor","2004, 2011 Institute for Bible Translation, Moscow","P2CJS/IBT","CJSIBTP2DA","audio_drama","Cyrl","cjs","CJSIBT"
"Chuave","1992 The Bible League","N2CJV/TBL","CJVTBL","text_format","Latn","cjv","CJVTBL"
"Chuave","1992 The Bible League","N2CJV/TBL","CJVTBL","text_plain","Latn","cjv","CJVTBL"
"Kurdish, Sorani","The Holy Bible, Kurdi Sorani Standard™","N1CKB/IBS","CKBIBS","text_format","Arab","ckb","CKBIBS"
"Kurdish, Sorani","The Holy Bible, Kurdi Sorani Standard™","N1CKB/IBS","CKBIBS","text_plain","Arab","ckb","CKBIBS"
"Kaqchikel","Cakchiquel Santa Maria de Jesus - 2006 WBT","N2CKI/WBT","CKIWBT","text_plain",NULL,"cak","CKIWBT"
"Kaqchikel","Cakchiquel Santa Maria de Jesus - 2006 WBT","N2CKI/WBT","CKIWBTN2DA","audio_drama",NULL,"cak","CKIWBT"
"Kaqchikel","Cakchiquel Santa Maria de Jesus - 2006 WBT","N2CKI/WBT","CKIWBTN2DA16","audio_drama",NULL,"cak","CKIWBT"
"Kaqchikel","Cakchiquel Santa Maria de Jesus - 2006 WBT","N2CKI/WBT","CKIWBTP2DV","video_stream",NULL,"cak","CKIWBT"
"Kaqchikel","Cakchiquel Santo Domingo Xenacoj - WBT","N2CKJ/WBT","CKJWBTN1DA","audio","Latn","cak","CKJWBT"
"Kaqchikel","Cakchiquel Santo Domingo Xenacoj - WBT","N2CKJ/WBT","CKJWBTN2DA","audio_drama","Latn","cak","CKJWBT"
"Kaqchikel","Cakchiquel Santo Domingo Xenacoj - WBT","N2CKJ/WBT","CKJWBTP2DV","video_stream","Latn","cak","CKJWBT"
"Kaqchikel","Cakchiquel Yepocapa - 1990 WBT","N2CKK/WBT","CKKWBT","text_plain",NULL,"cak","CKKWBT"
"Kaqchikel","Cakchiquel Yepocapa - 1990 WBT","N2CKK/WBT","CKKWBTN2DA","audio_drama",NULL,"cak","CKKWBT"
"Kaqchikel","Cakchiquel Yepocapa - 1990 WBT","N2CKK/WBT","CKKWBTN2DA16","audio_drama",NULL,"cak","CKKWBT"
"Anufo","2006 GILLBT","N2CKO/GIL","CKOGIL","text_plain","Latn","cko","CKOGIL"
"Anufo","2006 GILLBT","N2CKO/GIL","CKOGIL","text_format","Latn","cko","CKOGIL"
"Anufo","2006 GILLBT","N2CKO/GIL","CKOGILN2DA","audio_drama","Latn","cko","CKOGIL"
"Anufo","2006 GILLBT","N2CKO/GIL","CKOGILN2DA16","audio_drama","Latn","cko","CKOGIL"
"Anufo","2006 GILLBT","N2CKO/GIL","CKOGILP2DV","video_stream","Latn","cko","CKOGIL"
"Chukot","2004 Edition","P1CKT/IBT","CKTIBT","text_plain","Cyrl","ckt","CKTIBT"
"Chukot","2004 Edition","P1CKT/IBT","CKTIBTP1DA","audio","Cyrl","ckt","CKTIBT"
"Chukot","2004 Edition","P1CKT/IBT","CKTIBTP1DA16","audio","Cyrl","ckt","CKTIBT"
"Kaqchikel","Cakchiquel Occidental - 1996 WBT","N2CKW/NVS","CKWNVS","text_plain","Latn","cak","CAKK96"
"Kaqchikel","Cakchiquel Occidental - 1996 WBT","N2CKW/NVS","CKWNVSN2DA","audio_drama","Latn","cak","CAKK96"
"Kaqchikel","Cakchiquel Occidental - 1996 WBT","N2CKW/NVS","CKWNVSN2DA16","audio_drama","Latn","cak","CAKK96"
"Chaldean Neo-Aramaic","ABT Version","P2CLD/ABT","CLDABT","text_plain","Arab","cld","CLDABT"
"Lealao Chinantec","2008 Bible League International","N1CLE/TBL","CLETBL","text_plain",NULL,"cle","CLETBL"
"Lealao Chinantec","2008 Bible League International","N1CLE/TBL","CLETBLN1DA","audio",NULL,"cle","CLETBL"
"Lealao Chinantec","2008 Bible League International","N2CLE/TBL","CLETBLN2DA","audio_drama",NULL,"cle","CLETBL"
"Lealao Chinantec","2008 Bible League International","N2CLE/TBL","CLETBLP2DV","video_stream",NULL,"cle","CLETBL"
"Eastern Highland Chatino","2001 Edition","N1CLY/AVA","CLYAVA","text_plain","Latn","cly","CLYAVA"
"Eastern Highland Chatino","2001 Edition","N1CLY/AVA","CLYAVAN1DA","audio","Latn","cly","CLYAVA"
"Central Mnong","2016 Wycliffe Bible Translators, Inc","N2CMO/WBT","CM3WBT","text_plain","Latn","cmo","CMOBSCK"
"Central Mnong","2016 Wycliffe Bible Translators, Inc","N2CMO/WBT","CM3WBT","text_format","Latn","cmo","CMOBSCK"
"Central Mnong","2016 Wycliffe Bible Translators, Inc","N2CMO/WBT","CM3WBTN2DA16","audio_drama","Latn","cmo","CMOBSCK"
"Central Mnong","2016 Wycliffe Bible Translators, Inc","N2CMO/WBT","CM3WBTP2DV","video_stream","Latn","cmo","CMOBSCK"
"Moudadan Chetty","New Life Computer Institute","N2CMD/NLC","CMDNLCN1DA","audio","Taml","cmd","CMDNLC"
"Moudadan Chetty","New Life Computer Institute","N2CMD/NLC","CMDNLCN2DA","audio_drama","Taml","cmd","CMDNLC"
"Cerma","2011 Wycliffe Bible Translators Inc.","N2CME/WBT","CMEWBT","text_plain","Latn","cme","CMEWBT"
"Cerma","2011 Wycliffe Bible Translators Inc.","N2CME/WBT","CMEWBTN2DA","audio_drama","Latn","cme","CMEWBT"
"Cerma","2011 Wycliffe Bible Translators Inc.","N2CME/WBT","CMEWBTN2DA16","audio_drama","Latn","cme","CMEWBT"
"Cerma","2011 Wycliffe Bible Translators Inc.","N2CME/WBT","CMEWBTP2DV","video_stream","Latn","cme","CMEWBT"
"Mandarin Chinese","Chinese Contemporary Bible  (圣经当代译本修订版)","N1CMN/BIB","CMNBIB","text_plain","Hani","cmn","CMNTEM"
"Mandarin Chinese","Chinese Contemporary Bible  (圣经当代译本修订版)","N1CMN/BIB","CMNBIB","text_format","Hani","cmn","CMNTEM"
"Mandarin Chinese","Chinese Contemporary Bible  (圣经当代译本修订版)","N1CMN/BIB","CMNBIBN1DA","audio","Hani","cmn","CMNTEM"
"Mandarin Chinese","Chinese Contemporary Bible  (圣经当代译本修订版)","N1CMN/BIB","CMNBIBN1DA16","audio","Hani","cmn","CMNTEM"
"Mandarin Chinese","Chinese Contemporary Bible  (圣经当代译本修订版)","O1CMN/BIB","CMNBIBO1DA","audio","Hani","cmn","CMNTEM"
"Mandarin Chinese","Chinese Contemporary Bible  (圣经当代译本修订版)","O1CMN/BIB","CMNBIBO1DA16","audio","Hani","cmn","CMNTEM"
"Central Mnong","2016 Wycliffe Bible Translators, Inc","N2CMO/WBT","CMOWBT","text_plain","Khmr","cmo","CMOBSCM"
"Central Mnong","2016 Wycliffe Bible Translators, Inc","N2CMO/WBT","CMOWBT","text_format","Khmr","cmo","CMOBSCM"
"Central Mnong","2016 Wycliffe Bible Translators, Inc","N2CMO/WBT","CMOWBTN1DA","audio","Khmr","cmo","CMOBSCM"
"Central Mnong","2016 Wycliffe Bible Translators, Inc","N2CMO/WBT","CMOWBTN1DA16","audio","Khmr","cmo","CMOBSCM"
"Central Mnong","2016 Wycliffe Bible Translators, Inc","N2CMO/WBT","CMOWBTN2DA","audio_drama","Khmr","cmo","CMOBSCM"
"Central Mnong","2016 Wycliffe Bible Translators, Inc","N2CMO/WBT","CMOWBTN2DA16","audio_drama","Khmr","cmo","CMOBSCM"
"Central Mnong","2016 Wycliffe Bible Translators, Inc","N2CMO/WBT","CMOWBTP2DV","video_stream","Khmr","cmo","CMOBSCM"
"Mro-Khimi Chin","Bible Society of Myanmar","N2CMR/WBT","CMRWBT","text_format","Latn","cmr","CMRWBT"
"Mro-Khimi Chin","Bible Society of Myanmar","N2CMR/WBT","CMRWBT","text_plain","Latn","cmr","CMRWBT"
"Mro-Khimi Chin","Bible Society of Myanmar","N2CMR/WBT","CMRWBTN1DA","audio","Latn","cmr","CMRWBT"
"Mro-Khimi Chin","Bible Society of Myanmar","N2CMR/WBT","CMRWBTN1DA16","audio","Latn","cmr","CMRWBT"
"Mro-Khimi Chin","Bible Society of Myanmar","N2CMR/WBT","CMRWBTN2DA","audio_drama","Latn","cmr","CMRWBT"
"Mro-Khimi Chin","Bible Society of Myanmar","N2CMR/WBT","CMRWBTN2DA16","audio_drama","Latn","cmr","CMRWBT"
"Mro-Khimi Chin","Bible Society of Myanmar","N2CMR/WBT","CMRWBTP2DV","video_stream","Latn","cmr","CMRWBT"
"Hakha Chin","2014 Bibles International","N2CNH/BIV","CNHBIV","text_format","Latn","cnh","CNHBIV"
"Hakha Chin","2014 Bibles International","N2CNH/BIV","CNHBIV","text_plain","Latn","cnh","CNHBIV"
"Hakha Chin","United Bible Societies, 2005","N2CNH/BSM","CNHBSM","text_plain","Latn","cnh","CNHBSM"
"Hakha Chin","United Bible Societies, 2005","N2CNH/BSM","CNHBSMN1DA","audio","Latn","cnh","CNHBSM"
"Hakha Chin","United Bible Societies, 2005","N2CNH/BSM","CNHBSMN1DA16","audio","Latn","cnh","CNHBSM"
"Hakha Chin","United Bible Societies, 2005","N2CNH/BSM","CNHBSMN2DA","audio_drama","Latn","cnh","CNHBSM"
"Hakha Chin","United Bible Societies, 2005","N2CNH/BSM","CNHBSMN2DA16","audio_drama","Latn","cnh","CNHBSM"
"Asháninka","2006 Wycliffe Bible Translators Inc.","N2CNI/WBT","CNIWBT","text_plain","Latn","cni","CNIWBT"
"Asháninka","2006 Wycliffe Bible Translators Inc.","N2CNI/WBT","CNIWBTN2DA","audio_drama","Latn","cni","CNIWBT"
"Asháninka","2006 Wycliffe Bible Translators Inc.","N2CNI/WBT","CNIWBTN2DA16","audio_drama","Latn","cni","CNIWBT"
"Asháninka","2006 Wycliffe Bible Translators Inc.","N2CNI/WBT","CNIWBTP2DV","video_stream","Latn","cni","CNIWBT"
"Matu Chin","2005 Bible Society of Myanmar","N2HLT/BSM","CNKBSM","text_plain","Latn","hlt","CNKBSM"
"Matu Chin","2005 Bible Society of Myanmar","N2HLT/BSM","CNKBSMN1DA","audio","Latn","hlt","CNKBSM"
"Matu Chin","2005 Bible Society of Myanmar","N2HLT/BSM","CNKBSMN2DA","audio_drama","Latn","hlt","CNKBSM"
"Matu Chin","2005 Bible Society of Myanmar","N2HLT/BSM","CNKBSMN2DA16","audio_drama","Latn","hlt","CNKBSM"
"Lalana Chinantec","2012 Wycliffe Bible Translators, Inc.","N1CNL/TBL","CNLTBL","text_plain",NULL,"cnl","CNLTBI"
"Lalana Chinantec","2012 Wycliffe Bible Translators, Inc.","N1CNL/TBL","CNLTBLN1DA","audio",NULL,"cnl","CNLTBI"
"Lalana Chinantec","2012 Wycliffe Bible Translators, Inc.","N2CNL/WBT","CNLTBLN2DA","audio_drama",NULL,"cnl","CNLTBI"
"Lalana Chinantec","2012 Wycliffe Bible Translators, Inc.","N2CNL/WBT","CNLTBLP2DV","video_stream",NULL,"cnl","CNLTBI"
"Chuj, San Mateo Ixtatan","2007 Sociedad Bíblica de Guatemala","O1CNM/GVR","CNMGVR","text_plain",NULL,"cac","CNMGVR"
"Chuj, San Mateo Ixtatan","2007 Sociedad Bíblica de Guatemala","O1CNM/GVR","CNMGVRO1DA","audio",NULL,"cac","CNMGVR"
"Chuj, San Mateo Ixtatan","1993 Sociedad Bíblica de Guatemala","N2CNM/RGB","CNMRGB","text_plain",NULL,"cac","CACRGB"
"Chuj, San Mateo Ixtatan","1993 Sociedad Bíblica de Guatemala","N2CNM/RGB","CNMRGBN2DA","audio_drama",NULL,"cac","CACRGB"
"Chuj, San Mateo Ixtatan","1993 Sociedad Bíblica de Guatemala","N2CNM/RGB","CNMRGBN2DA16","audio_drama",NULL,"cac","CACRGB"
"Chuj, San Mateo Ixtatan","1993 Sociedad Bíblica de Guatemala","N2CNM/RGB","CNMRGBO2DA","audio_drama",NULL,"cac","CACRGB"
"Chuj, San Mateo Ixtatan","1993 Sociedad Bíblica de Guatemala","N1CNM/SBG","CNMSBGN1DA","audio",NULL,"cac","CACRGB"
"Chuj, San Mateo Ixtatan","1993 Sociedad Bíblica de Guatemala","N1CNM/SBG","CNMSBGP2DV","video_stream",NULL,"cac","CACRGB"
"Tepetotutla Chinantec","1994 Bible League International","N2CNT/TBL","CNTTBL","text_plain",NULL,"cnt","CNTTBL"
"Tepetotutla Chinantec","1994 Bible League International","N2CNT/TBL","CNTTBLN2DA","audio_drama",NULL,"cnt","CNTTBL"
"Tepetotutla Chinantec","1994 Bible League International","N2CNT/TBL","CNTTBLN2DA16","audio_drama",NULL,"cnt","CNTTBL"
"Tepetotutla Chinantec","1994 Bible League International","N2CNT/TBL","CNTTBLP2DV","video_stream",NULL,"cnt","CNTTBL"
"Ngawn Chin","Common Language Holy Bible","N2CNW/BSM","CNWBSMN1DA","audio",NULL,"cnw","CNWBSM"
"Ngawn Chin","Common Language Holy Bible","N2CNW/BSM","CNWBSMN1DA16","audio",NULL,"cnw","CNWBSM"
"Ngawn Chin","Common Language Holy Bible","N2CNW/BSM","CNWBSMN2DA","audio_drama",NULL,"cnw","CNWBSM"
"Ngawn Chin","Common Language Holy Bible","N2CNW/BSM","CNWBSMN2DA16","audio_drama",NULL,"cnw","CNWBSM"
"Koreguaje","2007 Wycliffe Bible Translators Inc.","N2COE/WBT","COEWBT","text_plain","Latn","coe","COEWBT"
"Koreguaje","2007 Wycliffe Bible Translators Inc.","N2COE/WBT","COEWBTN2DA","audio_drama","Latn","coe","COEWBT"
"Koreguaje","2007 Wycliffe Bible Translators Inc.","N2COE/WBT","COEWBTN2DA16","audio_drama","Latn","coe","COEWBT"
"Koreguaje","2007 Wycliffe Bible Translators Inc.","N2COE/WBT","COEWBTP2DV","video_stream","Latn","coe","COEWBT"
"Colorado","1990 Wycliffe Bible Translators","N2COF/WBT","COFWBT","text_plain","Latn","cof","COFWBT"
"Colorado","1990 Wycliffe Bible Translators","N2COF/WBT","COFWBT","text_format","Latn","cof","COFWBT"
"Colorado","1990 Wycliffe Bible Translators","N2COF/WBT","COFWBTN1DA","audio","Latn","cof","COFWBT"
"Colorado","1990 Wycliffe Bible Translators","N2COF/WBT","COFWBTN1DA16","audio","Latn","cof","COFWBT"
"Colorado","1990 Wycliffe Bible Translators","N2COF/WBT","COFWBTN2DA","audio_drama","Latn","cof","COFWBT"
"Colorado","1990 Wycliffe Bible Translators","N2COF/WBT","COFWBTN2DA16","audio_drama","Latn","cof","COFWBT"
"Santa Teresa Cora","2016 Wycliffe Bible Translators, Inc.","N2COK/WBT","COKWBT","text_plain","Latn","cok","COKWBT"
"Santa Teresa Cora","2016 Wycliffe Bible Translators, Inc.","N2COK/WBT","COKWBT","text_format","Latn","cok","COKWBT"
"Santa Teresa Cora","2016 Wycliffe Bible Translators, Inc.","N2COK/WBT","COKWBTN1DA","audio","Latn","cok","COKWBT"
"Santa Teresa Cora","2016 Wycliffe Bible Translators, Inc.","N2COK/WBT","COKWBTN2DA","audio_drama","Latn","cok","COKWBT"
"Santa Teresa Cora","2016 Wycliffe Bible Translators, Inc.","N2COK/WBT","COKWBTN2DA16","audio_drama","Latn","cok","COKWBT"
"Santa Teresa Cora","2016 Wycliffe Bible Translators, Inc.","N2COK/WBT","COKWBTP2DV","video_stream","Latn","cok","COKWBT"
"Cofán","1998 Wycliffe Bible Translators Inc.","N2CON/WBT","CONWBT","text_plain",NULL,"con","CONWBT"
"Cofán","1998 Wycliffe Bible Translators Inc.","N2CON/WBT","CONWBTN2DA","audio_drama",NULL,"con","CONWBT"
"Cofán","1998 Wycliffe Bible Translators Inc.","N2CON/WBT","CONWBTN2DA16","audio_drama",NULL,"con","CONWBT"
"Cofán","1998 Wycliffe Bible Translators Inc.","N2CON/WBT","CONWBTP2DV","video_stream",NULL,"con","CONWBT"
"Caquinte","2005 La Liga Bíblica","N2COT/TBL","COTTBL","text_format","Latn","cot","COTTBL"
"Caquinte","2005 La Liga Bíblica","N2COT/TBL","COTTBL","text_plain","Latn","cot","COTTBL"
"Caquinte","2005 La Liga Bíblica","N2COT/TBL","COTTBLN1DA","audio","Latn","cot","COTTBL"
"Caquinte","2005 La Liga Bíblica","N2COT/TBL","COTTBLN1DA16","audio","Latn","cot","COTTBL"
"Caquinte","2005 La Liga Bíblica","N2COT/TBL","COTTBLN2DA","audio_drama","Latn","cot","COTTBL"
"Caquinte","2005 La Liga Bíblica","N2COT/TBL","COTTBLN2DA16","audio_drama","Latn","cot","COTTBL"
"Wamey","2018 Wycliffe Bible Translators, Inc","N1COU/WBT","COUWBT","text_format","Latn","cou","COUWBT"
"Wamey","2018 Wycliffe Bible Translators, Inc","N1COU/WBT","COUWBT","text_plain","Latn","cou","COUWBT"
"Wamey","2018 Wycliffe Bible Translators, Inc","N1COU/WBT","COUWBTN1DA","audio","Latn","cou","COUWBT"
"Wamey","2018 Wycliffe Bible Translators, Inc","N1COU/WBT","COUWBTN1DA16","audio","Latn","cou","COUWBT"
"Wamey","2018 Wycliffe Bible Translators, Inc","N1COU/WBT","COUWBTP2DV","video_stream","Latn","cou","COUWBT"
"Nanti","Wycliffe Bible Translators Version","S1COX/WBT","COXWBTS1DA","audio","Latn","cox","COXWBT"
"Palantla Chinantec","1973 Bible League International","N1CPA/TBL","CPATBL","text_plain",NULL,"cpa","CPATBL"
"Palantla Chinantec","1973 Bible League International","N1CPA/TBL","CPATBLN1DA","audio",NULL,"cpa","CPATBL"
"Palantla Chinantec","1973 Bible League International","N1CPA/TBL","CPATBLP2DV","video_stream",NULL,"cpa","CPATBL"
"Ucayali-Yurúa Ashéninka","2000 Wycliffe Bible Translators, Inc","N2CPB/WBT","CPBWBT","text_plain","Latn","cpb","CPBWBT"
"Ucayali-Yurúa Ashéninka","2000 Wycliffe Bible Translators, Inc","N2CPB/WBT","CPBWBT","text_format","Latn","cpb","CPBWBT"
"Ucayali-Yurúa Ashéninka","2000 Wycliffe Bible Translators, Inc","N2CPB/WBT","CPBWBTN1DA","audio","Latn","cpb","CPBWBT"
"Ucayali-Yurúa Ashéninka","2000 Wycliffe Bible Translators, Inc","N2CPB/WBT","CPBWBTN1DA16","audio","Latn","cpb","CPBWBT"
"Ucayali-Yurúa Ashéninka","2000 Wycliffe Bible Translators, Inc","N2CPB/WBT","CPBWBTN2DA","audio_drama","Latn","cpb","CPBWBT"
"Ucayali-Yurúa Ashéninka","2000 Wycliffe Bible Translators, Inc","N2CPB/WBT","CPBWBTN2DA16","audio_drama","Latn","cpb","CPBWBT"
"Pichis Ashéninka","2008, Wycliffe Bible Translators, Inc","N2CPU/WBT","CPUWBT","text_format","Latn","cpu","CPUWBT"
"Pichis Ashéninka","2008, Wycliffe Bible Translators, Inc","N2CPU/WBT","CPUWBT","text_plain","Latn","cpu","CPUWBT"
"Pichis Ashéninka","2008, Wycliffe Bible Translators, Inc","N2CPU/WBT","CPUWBTN1DA","audio","Latn","cpu","CPUWBT"
"Pichis Ashéninka","2008, Wycliffe Bible Translators, Inc","N2CPU/WBT","CPUWBTN1DA16","audio","Latn","cpu","CPUWBT"
"Pichis Ashéninka","2008, Wycliffe Bible Translators, Inc","N2CPU/WBT","CPUWBTN2DA","audio_drama","Latn","cpu","CPUWBT"
"Pichis Ashéninka","2008, Wycliffe Bible Translators, Inc","N2CPU/WBT","CPUWBTN2DA16","audio_drama","Latn","cpu","CPUWBT"
"Pichis Ashéninka","2008, Wycliffe Bible Translators, Inc","N2CPU/WBT","CPUWBTP2DV","video_stream","Latn","cpu","CPUWBT"
"Cora, Presidio de los Reyes","Bible League International","N2CRN/PDR","CR1PDR","text_plain","Latn","crn","CRNPDR"
"Crimean Tatar","Institute for Bible Translation, Moscow","N2CRH/IBT","CRHIBT","text_plain","Cyrl","crh","CRHIBT"
"Crimean Tatar","Institute for Bible Translation, Moscow","N2CRH/IBT","CRHIBTN1DA","audio","Cyrl","crh","CRHIBT"
"Crimean Tatar","Institute for Bible Translation, Moscow","N2CRH/IBT","CRHIBTN2DA","audio_drama","Cyrl","crh","CRHIBT"
